ageban,WEIGHT,northeast,south,midwest,female,white,nonwhite,hsgrad,somecoll,colgrad,idR,idD,idI,survey,year,stname,monthst,dayst,monthend,dayend
65+,.34619579,0,1,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,Florida,8,4,10,2
50-64,.58157116,0,1,0,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
65+,.40175191,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Louisiana,8,4,10,2
50-64,1.0408676,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Florida,8,4,10,2
30-49,1.7072492,0,0,1,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Michigan,8,4,10,2
65+,.33576313,0,0,1,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Ohio,8,4,10,2
50-64,.71119982,0,1,0,0,0,1,1,1,1,0,0,1,2017-31116496,2016,Maryland,8,4,10,2
65+,.534284,0,0,0,0,0,1,1,1,0,1,0,0,2017-31116496,2016,California,8,4,10,2
50-64,1.2535591,0,1,0,1,0,1,1,1,0,0,0,1,2017-31116496,2016,Maryland,8,4,10,2
50-64,.40758646,0,0,1,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Missouri,8,4,10,2
50-64,.41641456,1,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Maine,8,4,10,2
65+,.9704414,0,0,0,0,0,1,1,0,0,0,1,0,2017-31116496,2016,Arizona,8,4,10,2
65+,.33441937,0,0,1,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Ohio,8,4,10,2
30-49,.71733022,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,North Carolina,8,4,10,2
50-64,.51603174,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Tennessee,8,4,10,2
50-64,.38208485,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,California,8,4,10,2
50-64,.37427267,0,0,1,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Michigan,8,4,10,2
65+,.8098641,1,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,.21258058,0,0,0,0,0,1,1,1,1,1,0,0,2017-31116496,2016,Hawaii,8,4,10,2
65+,.64304465,1,0,0,1,1,0,0,0,0,1,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
30-49,.22448611,0,1,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Maryland,8,4,10,2
50-64,2.0291057,0,1,0,1,0,1,1,0,0,0,1,0,2017-31116496,2016,Texas,8,4,10,2
65+,.89104545,0,1,0,1,0,1,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.56142724,0,0,1,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Minnesota,8,4,10,2
50-64,.91541392,0,1,0,1,0,1,1,0,0,0,1,0,2017-31116496,2016,Georgia,8,4,10,2
50-64,.20393097,1,0,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,New Jersey,8,4,10,2
65+,.24007581,0,0,0,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Oregon,8,4,10,2
65+,.76687545,0,1,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Tennessee,8,4,10,2
65+,.20393097,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,South Dakota,8,4,10,2
65+,1.0904375,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Maryland,8,4,10,2
50-64,.57312727,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Arizona,8,4,10,2
65+,.43518746,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,1.10826,1,0,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,New Jersey,8,4,10,2
30-49,.65878123,0,0,1,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Ohio,8,4,10,2
65+,.21658158,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Kentucky,8,4,10,2
50-64,1.1555145,0,0,0,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Colorado,8,4,10,2
65+,2.3380415,0,0,0,1,0,1,1,0,0,0,1,0,2017-31116496,2016,California,8,4,10,2
50-64,5.5804462,0,0,0,1,0,1,1,0,0,.a,.a,.a,2017-31116496,2016,California,8,4,10,2
30-49,.65418428,0,1,0,0,.a,.a,1,1,1,0,0,1,2017-31116496,2016,Virginia,8,4,10,2
18-29,1.6381676,0,0,1,1,1,0,1,1,0,0,0,1,2017-31116496,2016,Michigan,8,4,10,2
30-49,.68141216,0,1,0,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Florida,8,4,10,2
18-29,5.5804462,0,0,1,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Nebraska,8,4,10,2
65+,.20393097,0,0,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,California,8,4,10,2
50-64,.32079941,0,1,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Tennessee,8,4,10,2
65+,.3304818,0,1,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Florida,8,4,10,2
50-64,.53522152,0,0,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Oregon,8,4,10,2
65+,.26050672,1,0,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,New York,8,4,10,2
50-64,.94919711,0,0,1,1,1,0,1,1,1,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
30-49,.79785109,0,1,0,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Kentucky,8,4,10,2
65+,.55645812,1,0,0,0,1,0,1,0,0,0,1,0,2017-31116496,2016,New Jersey,8,4,10,2
50-64,.65064472,0,0,0,1,1,0,1,1,0,0,0,1,2017-31116496,2016,California,8,4,10,2
